[2024-07-09 09:23:20] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-07-09 09:23:20] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-07-09 09:23:20] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-07-09 09:23:20] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-07-09 09:23:20] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-07-09 09:23:20] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-07-09 09:23:20] [class-ss-setup-task.php:33] Creating archive directory: /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1720517000/
[2024-07-09 09:23:20] [class-ss-setup-task.php:72] Adding origin URL to queue: http://demo.local/
[2024-07-09 09:23:20] [class-ss-setup-task.php:145] Adding files from directory: /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/index.php to queue as: http://demo.local/wp-content/plugins/index.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/index.php to queue as: http://demo.local/wp-content/plugins/simply-static/index.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/languages/simply-static-fr_FR.mo to queue as: http://demo.local/wp-content/plugins/simply-static/languages/simply-static-fr_FR.mo
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/languages/simply-static-de_DE.po to queue as: http://demo.local/wp-content/plugins/simply-static/languages/simply-static-de_DE.po
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/languages/simply-static-de_DE-simplystatic-settings.json to queue as: http://demo.local/wp-content/plugins/simply-static/languages/simply-static-de_DE-simplystatic-settings.json
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/languages/simply-static.pot to queue as: http://demo.local/wp-content/plugins/simply-static/languages/simply-static.pot
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/languages/simply-static-fr_FR.po to queue as: http://demo.local/wp-content/plugins/simply-static/languages/simply-static-fr_FR.po
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/languages/simply-static-de_DE.mo to queue as: http://demo.local/wp-content/plugins/simply-static/languages/simply-static-de_DE.mo
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/uninstall.php to queue as: http://demo.local/wp-content/plugins/simply-static/uninstall.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/simply-static.php to queue as: http://demo.local/wp-content/plugins/simply-static/simply-static.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/readme.txt to queue as: http://demo.local/wp-content/plugins/simply-static/readme.txt
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/license.txt to queue as: http://demo.local/wp-content/plugins/simply-static/license.txt
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/views/redirect.php to queue as: http://demo.local/wp-content/plugins/simply-static/views/redirect.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/assets/install-plugins/build/index.asset.php to queue as: http://demo.local/wp-content/plugins/simply-static/assets/install-plugins/build/index.asset.php
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/assets/install-plugins/build/index.js to queue as: http://demo.local/wp-content/plugins/simply-static/assets/install-plugins/build/index.js
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/assets/install-plugins/build/style-index.css to queue as: http://demo.local/wp-content/plugins/simply-static/assets/install-plugins/build/style-index.css
[2024-07-09 09:23:20] [class-ss-setup-task.php:150] Adding file /Users/mena/Local Sites/htdocs/demo/app/public/wp-content/plugins/simply-static/assets/simply-static-logo.svg to queue as: http://demo.local/wp-content/plugins/simply-static/assets/simply-static-logo.svg
